type,value,line,column
t_NEWLINE,\n,2,26
t_NEWLINE,\n,3,21
t_NEWLINE,\n,4,2
t_NEWLINE,\n,5,35
t_NEWLINE,\n,6,0
t_NEWLINE,\n,7,21
t_NEWLINE,\n,8,0
t_HASH,#,8,0
t_INCLUDE,include,8,2
t_LESS,<,8,10
t_HEADER,stdio.h,8,11
t_GREATER,>,8,18
t_NEWLINE,\n,9,19
t_HASH,#,9,0
t_INCLUDE,include,9,1
t_LESS,<,9,8
t_HEADER,math.h,9,9
t_GREATER,>,9,15
t_NEWLINE,\n,10,16
t_NEWLINE,\n,11,0
t_INT,int,11,0
t_MAIN,main,11,4
t_LPAREN,(,11,8
t_RPAREN,),11,9
t_NEWLINE,\n,12,10
t_LBRACE,{,12,0
t_NEWLINE,\n,13,1
t_NEWLINE,\n,14,48
t_INT,int,14,4
t_ID,a_1,14,8
t_COMMA,",",14,12
t_ID,b01_3,14,14
t_COMMA,",",14,19
t_ID,_var,14,21
t_SEMI,;,14,26
t_NEWLINE,\n,15,27
t_INT,int,15,4
t_ID,x,15,8
t_SEMI,;,15,9
t_NEWLINE,\n,16,10
t_CHAR,char,16,4
t_ID,ch,16,9
t_SEMI,;,16,11
t_NEWLINE,\n,17,12
t_FLOAT,float,17,4
t_ID,fracnum,17,10
t_SEMI,;,17,17
t_NEWLINE,\n,18,18
t_NEWLINE,\n,19,39
t_IF,if,19,4
t_LPAREN,(,19,6
t_ID,x,19,7
t_LESS,<,19,8
t_NUMBER,10,19,9
t_RPAREN,),19,11
t_LBRACE,{,19,12
t_NEWLINE,\n,20,13
t_ID,x,20,8
t_EQUAL,=,20,10
t_NUMBER,10,20,12
t_SEMI,;,20,14
t_NEWLINE,\n,21,15
t_ID,fracnum,21,8
t_EQUAL,=,21,16
t_ID,x,21,18
t_SLASH,/,21,19
t_NUMBER,100,21,20
t_SEMI,;,21,23
t_NEWLINE,\n,22,49
t_RBRACE,},22,4
t_NEWLINE,\n,23,5
t_ELSE,else,23,4
t_LBRACE,{,23,8
t_NEWLINE,\n,24,9
t_ID,x,24,8
t_EQUAL,=,24,10
t_NUMBER,2,24,12
t_STAR,*,24,13
t_ID,x,24,14
t_SEMI,;,24,15
t_NEWLINE,\n,25,16
t_RBRACE,},25,4
t_NEWLINE,\n,26,5
t_NEWLINE,\n,27,15
t_FOR,for,27,4
t_LPAREN,(,27,7
t_ID,i,27,8
t_EQUAL,=,27,9
t_NUMBER,0,27,10
t_SEMI,;,27,11
t_ID,i,27,13
t_LESS,<,27,14
t_NUMBER,10,27,15
t_SEMI,;,27,17
t_ID,i,27,19
t_INCREMENT,++,27,20
t_RPAREN,),27,22
t_LBRACE,{,27,23
t_NEWLINE,\n,28,24
t_INT,int,28,8
t_ID,temp,28,12
t_SEMI,;,28,16
t_NEWLINE,\n,29,17
t_ID,temp,29,8
t_EQUAL,=,29,13
t_NUMBER,10,29,15
t_SEMI,;,29,17
t_NEWLINE,\n,30,18
t_ID,temp,30,8
t_EQUAL,=,30,13
t_ID,temp,30,15
t_PLUS,+,30,20
t_ID,i,30,22
t_SEMI,;,30,23
t_NEWLINE,\n,31,24
t_RBRACE,},31,4
t_NEWLINE,\n,32,5
t_ID,i,32,4
t_EQUAL,=,32,5
t_NUMBER,1,32,6
t_SEMI,;,32,7
t_NEWLINE,\n,33,8
t_FOR,for,33,4
t_LPAREN,(,33,7
t_SEMI,;,33,9
t_ID,i,33,11
t_LESS,<,33,12
t_NUMBER,10,33,13
t_SEMI,;,33,15
t_RPAREN,),33,17
t_LBRACE,{,33,18
t_NEWLINE,\n,34,19
t_ID,i,34,8
t_INCREMENT,++,34,9
t_SEMI,;,34,11
t_NEWLINE,\n,35,12
t_ID,temp,35,8
t_EQUAL,=,35,13
t_ID,temp,35,15
t_PLUS,+,35,20
t_ID,i,35,22
t_SEMI,;,35,23
t_NEWLINE,\n,36,24
t_RBRACE,},36,4
t_NEWLINE,\n,37,5
t_NEWLINE,\n,38,17
t_ID,i,38,4
t_EQUAL,=,38,5
t_NUMBER,100,38,6
t_SEMI,;,38,9
t_NEWLINE,\n,39,10
t_WHILE,while,39,4
t_LPAREN,(,39,9
t_ID,i,39,10
t_GREATER,>,39,11
t_NUMBER,10,39,12
t_RPAREN,),39,14
t_LBRACE,{,39,15
t_NEWLINE,\n,40,16
t_NEWLINE,\n,41,40
t_ID,i,41,8
t_DECREMENT,--,41,9
t_SEMI,;,41,11
t_NEWLINE,\n,42,12
t_ID,temp,42,8
t_INCREMENT,++,42,12
t_SEMI,;,42,14
t_NEWLINE,\n,43,15
t_RBRACE,},43,4
t_NEWLINE,\n,44,5
t_RBRACE,},44,0
t_NEWLINE,\n,45,1
